reservation_id:ID(Reservation),check_in:date,check_out:date,status,total_amount:float,guest_id:ID(Guest),hotel_id:ID(Hotel)
7032,2024-04-10,2024-04-19,checked_out,3150.00,899,1
8299,2024-01-25,2024-01-29,cancelled,1400.00,1323,1
9280,2024-02-28,2024-03-08,checked_in,3150.00,3524,1
14918,2024-05-07,2024-05-15,checked_in,2800.00,6658,1
17404,2024-10-23,2024-10-30,checked_out,2450.00,3124,1
781,2024-09-10,2024-09-16,checked_out,1320.00,1428,1
3055,2024-08-16,2024-08-24,checked_out,1760.00,3108,1
5271,2024-04-05,2024-04-08,checked_out,660.00,93,1
17971,2024-01-05,2024-01-13,cancelled,1760.00,5177,1
19102,2024-03-22,2024-03-31,checked_out,1980.00,7499,1
871,2024-05-23,2024-06-01,checked_out,1980.00,6029,1
3647,2024-07-18,2024-07-27,cancelled,1980.00,892,1
8200,2024-02-06,2024-02-16,checked_out,2200.00,2744,1
9002,2024-07-02,2024-07-12,checked_out,2200.00,3929,1
12098,2024-11-08,2024-11-14,checked_in,1320.00,815,1
12528,2024-01-25,2024-01-30,checked_in,1100.00,6572,1
2056,2024-08-17,2024-08-25,checked_out,640.00,1603,1
3270,2024-09-09,2024-09-10,checked_in,80.00,362,1
4974,2024-09-22,2024-09-24,cancelled,160.00,602,1
12010,2024-12-03,2024-12-07,cancelled,320.00,6854,1
16038,2024-10-15,2024-10-21,checked_out,480.00,5759,1
2185,2024-08-24,2024-09-02,checked_in,1980.00,1283,1
8133,2024-12-19,2024-12-25,checked_out,1320.00,5592,1
8908,2024-08-28,2024-09-03,checked_out,1320.00,7834,1
14325,2024-12-26,2025-01-05,checked_in,2200.00,5719,1
3453,2024-08-17,2024-08-22,checked_out,1100.00,5193,1
4730,2024-03-15,2024-03-16,checked_out,220.00,7930,1
4787,2024-11-03,2024-11-05,checked_in,440.00,495,1
5979,2024-07-01,2024-07-10,checked_in,1980.00,5541,1
11485,2024-03-01,2024-03-07,cancelled,1320.00,7447,1
19198,2024-05-26,2024-05-28,checked_out,440.00,3607,1
2542,2024-10-16,2024-10-26,checked_in,3500.00,7638,1
3520,2024-04-25,2024-04-27,checked_out,700.00,3288,1
15211,2024-12-02,2024-12-06,checked_out,1400.00,5420,1
15917,2024-04-14,2024-04-17,cancelled,1050.00,5782,1
17051,2024-07-19,2024-07-26,checked_out,2450.00,3516,1
2826,2024-11-02,2024-11-08,checked_out,1320.00,5546,1
3260,2024-12-02,2024-12-10,checked_out,1760.00,1965,1
10229,2024-04-13,2024-04-14,checked_out,220.00,1901,1
13573,2024-12-07,2024-12-14,cancelled,1540.00,6680,1
14969,2024-06-02,2024-06-03,checked_out,220.00,1529,1
2098,2024-08-13,2024-08-23,checked_out,800.00,1857,1
2809,2024-07-22,2024-07-26,checked_out,320.00,1516,1
3727,2024-02-23,2024-03-02,checked_in,640.00,3416,1
17663,2024-12-18,2024-12-23,checked_out,1100.00,5103,1
2296,2024-01-16,2024-01-19,booked,360.00,1507,1
6719,2024-04-19,2024-04-26,checked_out,840.00,2253,1
14471,2024-12-22,2024-12-30,booked,960.00,7007,1
5215,2024-06-04,2024-06-13,cancelled,1980.00,2724,1
8779,2024-10-12,2024-10-17,checked_in,1100.00,3522,1
14003,2024-08-12,2024-08-15,checked_out,660.00,251,1
295,2024-03-21,2024-03-25,checked_out,320.00,4707,1
5010,2024-06-10,2024-06-16,checked_out,480.00,2577,1
5813,2024-10-11,2024-10-21,checked_out,800.00,2843,1
8787,2024-07-06,2024-07-16,checked_out,800.00,3451,1
10904,2024-08-12,2024-08-18,checked_out,480.00,938,1
16179,2024-07-04,2024-07-14,checked_in,800.00,727,1
17793,2024-06-27,2024-06-30,checked_out,240.00,7560,1
19991,2024-07-15,2024-07-21,checked_out,480.00,1790,1
375,2024-02-20,2024-02-24,checked_out,1400.00,7510,1
1120,2024-03-11,2024-03-12,checked_out,350.00,766,1
4659,2024-03-08,2024-03-11,checked_out,1050.00,948,1
5848,2024-09-04,2024-09-13,checked_in,3150.00,3821,1
18499,2024-03-21,2024-03-31,checked_out,3500.00,1033,1
4004,2024-03-16,2024-03-21,checked_out,1100.00,7929,2
12159,2024-06-19,2024-06-21,checked_in,440.00,5242,2
309,2024-10-05,2024-10-06,checked_out,350.00,4329,2
5546,2024-02-03,2024-02-07,checked_in,1400.00,5652,2
11328,2024-02-07,2024-02-08,checked_out,350.00,6825,2
17740,2024-05-04,2024-05-11,checked_out,2450.00,6017,2
19317,2024-01-08,2024-01-17,checked_in,3150.00,4347,2
25,2024-06-19,2024-06-20,checked_out,80.00,3123,2
11671,2024-05-24,2024-06-02,booked,720.00,2231,2
12390,2024-04-06,2024-04-11,checked_in,400.00,7213,2
3468,2024-08-04,2024-08-07,checked_out,1050.00,4486,2
10522,2024-08-21,2024-08-22,checked_out,350.00,4868,2
10580,2024-11-21,2024-11-22,checked_in,350.00,3963,2
11081,2024-12-23,2024-12-24,booked,350.00,2318,2
16752,2024-08-24,2024-08-26,checked_in,700.00,7678,2
17202,2024-09-15,2024-09-17,checked_out,700.00,6134,2
18330,2024-08-07,2024-08-10,checked_out,1050.00,7764,2
19648,2024-11-23,2024-12-03,booked,3500.00,4881,2
2125,2024-12-27,2025-01-01,checked_out,600.00,6896,2
3920,2024-10-03,2024-10-10,checked_out,840.00,4524,2
5357,2024-03-28,2024-04-04,cancelled,840.00,292,2
8912,2024-10-07,2024-10-16,checked_out,1080.00,921,2
1956,2024-12-01,2024-12-07,checked_out,1320.00,6110,2
6612,2024-10-04,2024-10-06,checked_in,440.00,6161,2
13176,2024-09-07,2024-09-14,checked_out,1540.00,504,2
8795,2024-06-17,2024-06-19,checked_in,160.00,4448,2
11068,2024-05-04,2024-05-09,checked_out,400.00,3007,2
15967,2024-07-12,2024-07-16,cancelled,320.00,7515,2
16192,2024-01-02,2024-01-09,checked_out,560.00,7375,2
16613,2024-04-12,2024-04-19,checked_in,560.00,5389,2
131,2024-06-09,2024-06-18,checked_out,3150.00,4715,2
2334,2024-08-16,2024-08-20,checked_out,1400.00,5285,2
8466,2024-04-26,2024-04-30,checked_in,1400.00,1202,2
11758,2024-11-10,2024-11-17,checked_out,2450.00,5993,2
18849,2024-12-20,2024-12-25,checked_in,1750.00,1609,2
3237,2024-04-09,2024-04-15,cancelled,480.00,4548,2
8410,2024-05-28,2024-06-07,checked_in,800.00,5733,2
9398,2024-06-19,2024-06-24,checked_in,400.00,2338,2
11244,2024-06-02,2024-06-10,checked_out,640.00,530,2
11946,2024-11-10,2024-11-20,checked_out,800.00,383,2
18179,2024-08-28,2024-08-29,checked_out,80.00,3267,2
19436,2024-10-24,2024-11-01,checked_out,640.00,94,2
19683,2024-08-27,2024-08-30,checked_out,240.00,1425,2
2358,2024-02-09,2024-02-15,checked_out,720.00,2035,2
3282,2024-03-25,2024-03-30,checked_out,1100.00,2593,2
6351,2024-01-26,2024-02-03,checked_out,1760.00,1074,2
9758,2024-12-17,2024-12-27,checked_out,2200.00,1587,2
11805,2024-12-04,2024-12-10,checked_out,1320.00,4777,2
11918,2024-12-05,2024-12-12,checked_out,1540.00,1245,2
4902,2024-07-24,2024-07-29,checked_in,1750.00,3689,2
7238,2024-11-06,2024-11-13,checked_out,2450.00,5630,2
9358,2024-03-28,2024-03-29,checked_in,350.00,3616,2
12771,2024-09-24,2024-09-29,checked_in,1750.00,7714,2
14681,2024-07-07,2024-07-15,checked_out,2800.00,2614,2
5912,2024-12-15,2024-12-25,checked_out,800.00,2407,2
12029,2024-06-01,2024-06-03,cancelled,160.00,6509,2
15615,2024-11-27,2024-11-28,checked_in,80.00,282,2
2077,2024-04-11,2024-04-13,cancelled,440.00,3130,2
2401,2024-05-27,2024-06-05,checked_out,1980.00,6285,2
2513,2024-06-17,2024-06-19,checked_in,440.00,2474,2
3178,2024-12-22,2025-01-01,checked_out,2200.00,3535,2
9091,2024-06-11,2024-06-21,checked_out,2200.00,3306,2
12407,2024-01-27,2024-02-04,checked_out,1760.00,5744,2
15924,2024-06-27,2024-07-06,cancelled,1980.00,311,2
3792,2024-02-07,2024-02-12,booked,1100.00,3897,2
3891,2024-09-19,2024-09-24,checked_out,1100.00,164,2
6601,2024-07-27,2024-07-30,checked_in,660.00,3340,2
6869,2024-07-15,2024-07-24,checked_out,1980.00,1784,2
11830,2024-01-03,2024-01-11,cancelled,1760.00,4180,2
19918,2024-04-17,2024-04-26,checked_in,1980.00,7136,2
1997,2024-12-03,2024-12-09,checked_out,480.00,4535,2
19980,2024-06-20,2024-06-30,checked_out,800.00,7008,2
10267,2024-06-10,2024-06-17,checked_out,1540.00,7491,2
11698,2024-12-25,2024-12-26,checked_out,220.00,2673,2
12635,2024-09-26,2024-09-29,cancelled,660.00,500,2
5153,2024-12-26,2024-12-30,checked_out,880.00,1219,2
14849,2024-08-13,2024-08-14,booked,220.00,95,2
5839,2024-08-03,2024-08-12,checked_in,3150.00,7541,2
10399,2024-07-15,2024-07-21,booked,2100.00,5062,2
17487,2024-06-15,2024-06-18,cancelled,1050.00,5899,2
18613,2024-08-10,2024-08-16,checked_in,2100.00,7046,2
6397,2024-07-28,2024-07-30,checked_out,440.00,1589,2
6721,2024-10-24,2024-11-03,checked_out,2200.00,974,2
14987,2024-10-13,2024-10-22,checked_in,3150.00,373,2
655,2024-06-25,2024-07-05,checked_out,2200.00,4533,2
5382,2024-07-16,2024-07-18,checked_out,440.00,5068,2
10617,2024-12-13,2024-12-16,checked_in,660.00,5218,2
2252,2024-12-12,2024-12-18,checked_out,720.00,3527,2
6042,2024-03-22,2024-03-27,checked_in,600.00,3888,2
9267,2024-04-27,2024-05-03,checked_out,720.00,1277,2
14664,2024-07-24,2024-07-26,checked_in,240.00,1362,2
17705,2024-06-22,2024-06-29,checked_out,840.00,4878,2
4240,2024-05-15,2024-05-20,checked_in,600.00,3428,2
10851,2024-07-01,2024-07-08,checked_out,840.00,5625,2
13575,2024-07-04,2024-07-10,checked_in,720.00,3363,2
15577,2024-06-26,2024-06-30,checked_out,480.00,6686,2
608,2024-05-25,2024-06-03,booked,3150.00,492,2
939,2024-02-16,2024-02-18,cancelled,700.00,2561,2
6933,2024-06-07,2024-06-15,checked_out,2800.00,2233,2
7476,2024-07-19,2024-07-22,booked,1050.00,7186,2
10766,2024-08-04,2024-08-07,cancelled,1050.00,2608,2
1025,2024-12-15,2024-12-20,checked_out,1750.00,3883,2
4113,2024-02-19,2024-02-22,checked_out,1050.00,2277,2
5916,2024-02-22,2024-03-02,checked_out,3150.00,2133,2
319,2024-03-27,2024-04-04,checked_out,960.00,5970,2
8429,2024-05-08,2024-05-09,cancelled,120.00,7162,2
11512,2024-08-24,2024-09-02,checked_out,1080.00,5151,2
4702,2024-02-25,2024-02-28,checked_out,660.00,2233,2
5123,2024-01-16,2024-01-17,checked_out,220.00,336,2
7776,2024-01-09,2024-01-19,checked_out,2200.00,3801,2
11495,2024-07-18,2024-07-26,cancelled,1760.00,5367,2
14592,2024-12-20,2024-12-25,checked_out,1100.00,2412,2
2110,2024-12-16,2024-12-17,booked,350.00,4150,2
2286,2024-04-06,2024-04-16,checked_out,3500.00,4385,2
12409,2024-12-16,2024-12-25,checked_in,3150.00,2677,2
15643,2024-12-08,2024-12-14,booked,480.00,5281,2
18119,2024-09-27,2024-09-30,checked_out,240.00,4281,2
814,2024-12-23,2024-12-24,booked,220.00,3932,2
2933,2024-02-25,2024-02-27,checked_in,440.00,2329,2
3088,2024-01-19,2024-01-28,checked_out,1980.00,162,2
5388,2024-12-13,2024-12-14,checked_in,220.00,5432,2
6609,2024-12-09,2024-12-17,booked,1760.00,5969,2
9571,2024-06-07,2024-06-11,checked_out,880.00,4843,2
15124,2024-08-02,2024-08-03,checked_out,220.00,2012,2
18032,2024-08-13,2024-08-14,booked,220.00,6691,2
2121,2024-10-04,2024-10-10,booked,1320.00,3771,2
12091,2024-04-12,2024-04-20,booked,1760.00,3943,2
14111,2024-11-22,2024-11-28,checked_out,1320.00,659,2
986,2024-07-21,2024-07-27,checked_out,720.00,5770,2
11390,2024-06-20,2024-06-22,checked_out,240.00,646,2
15216,2024-07-18,2024-07-23,checked_in,600.00,1644,2
16543,2024-09-22,2024-09-23,checked_out,120.00,1327,2
2442,2024-07-14,2024-07-17,checked_out,1050.00,7837,2
2737,2024-12-12,2024-12-16,checked_out,1400.00,4301,2
5526,2024-01-02,2024-01-07,checked_in,1750.00,2947,2
8234,2024-08-03,2024-08-13,cancelled,3500.00,2115,2
11549,2024-07-01,2024-07-07,checked_in,2100.00,1237,2
274,2024-12-11,2024-12-19,booked,1760.00,6861,2
1188,2024-02-10,2024-02-19,checked_out,1980.00,1478,2
18767,2024-08-08,2024-08-15,checked_out,1540.00,1084,2
3155,2024-06-21,2024-06-22,checked_out,350.00,6228,2
6084,2024-04-03,2024-04-13,checked_out,3500.00,1939,2
19135,2024-05-12,2024-05-14,checked_out,700.00,2950,2
596,2024-06-02,2024-06-03,checked_out,350.00,3978,3
9715,2024-07-02,2024-07-12,checked_out,3500.00,7530,3
2623,2024-06-18,2024-06-19,checked_out,120.00,3957,3
6152,2024-07-28,2024-08-06,checked_in,1080.00,6836,3
10847,2024-07-15,2024-07-22,checked_out,840.00,4882,3
13658,2024-06-08,2024-06-15,checked_in,840.00,5398,3
16577,2024-09-24,2024-10-02,cancelled,960.00,1724,3
17727,2024-03-08,2024-03-12,checked_out,480.00,7648,3
18655,2024-10-04,2024-10-10,cancelled,720.00,7994,3
6128,2024-05-27,2024-05-29,checked_out,700.00,7405,3
10146,2024-10-09,2024-10-12,checked_in,1050.00,4760,3
15554,2024-02-10,2024-02-14,checked_out,1400.00,6508,3
5692,2024-03-03,2024-03-05,checked_out,240.00,7502,3
7712,2024-05-07,2024-05-13,checked_out,720.00,5201,3
7386,2024-05-10,2024-05-15,checked_in,400.00,5105,3
14818,2024-05-16,2024-05-21,checked_out,400.00,2024,3
17710,2024-02-26,2024-02-29,checked_out,240.00,4025,3
1878,2024-07-08,2024-07-18,checked_out,2200.00,7092,3
8586,2024-06-06,2024-06-12,checked_in,1320.00,1914,3
16697,2024-08-18,2024-08-25,checked_out,1540.00,4092,3
1064,2024-06-10,2024-06-12,checked_in,440.00,143,3
6948,2024-04-12,2024-04-21,checked_out,1980.00,4597,3
16790,2024-12-02,2024-12-08,checked_out,1320.00,3323,3
716,2024-12-23,2024-12-26,checked_out,240.00,6532,3
5111,2024-12-24,2024-12-27,checked_out,240.00,167,3
16439,2024-08-05,2024-08-06,checked_out,80.00,7717,3
17457,2024-12-13,2024-12-15,cancelled,160.00,300,3
17739,2024-05-25,2024-06-04,checked_out,800.00,1479,3
18999,2024-05-18,2024-05-23,checked_out,400.00,3122,3
19996,2024-11-20,2024-11-24,checked_out,320.00,7833,3
1684,2024-10-15,2024-10-17,checked_in,240.00,504,3
5949,2024-08-14,2024-08-22,checked_out,960.00,4394,3
9253,2024-04-24,2024-04-28,checked_out,480.00,7071,3
19646,2024-12-03,2024-12-08,checked_out,600.00,695,3
202,2024-02-11,2024-02-14,checked_out,660.00,2013,3
1848,2024-04-25,2024-05-03,checked_out,1760.00,1986,3
3168,2024-02-19,2024-02-22,checked_in,660.00,724,3
5431,2024-08-02,2024-08-05,checked_in,660.00,4904,3
5935,2024-05-17,2024-05-18,checked_out,220.00,6141,3
8525,2024-07-23,2024-08-01,checked_out,1980.00,2251,3
7790,2024-07-07,2024-07-15,checked_out,960.00,1997,3
19412,2024-01-26,2024-01-30,cancelled,480.00,4274,3
12710,2024-05-18,2024-05-21,checked_in,360.00,4696,3
15180,2024-02-20,2024-02-26,checked_out,720.00,2776,3
15433,2024-08-18,2024-08-24,checked_out,720.00,1735,3
19758,2024-07-04,2024-07-07,checked_in,360.00,7552,3
1596,2024-07-18,2024-07-23,checked_out,600.00,2647,3
8955,2024-05-14,2024-05-18,checked_in,480.00,3532,3
10562,2024-12-27,2025-01-06,booked,1200.00,393,3
11112,2024-04-19,2024-04-24,booked,600.00,5249,3
15132,2024-12-26,2025-01-01,checked_out,720.00,4477,3
252,2024-05-21,2024-05-27,checked_out,480.00,6315,3
6884,2024-06-26,2024-06-29,checked_out,240.00,798,3
19925,2024-02-07,2024-02-08,cancelled,80.00,5899,3
8894,2024-07-14,2024-07-20,cancelled,720.00,5311,3
12940,2024-04-07,2024-04-17,cancelled,1200.00,1208,3
4319,2024-06-17,2024-06-24,checked_out,2450.00,7683,3
7640,2024-01-22,2024-01-30,checked_out,2800.00,1846,3
7820,2024-07-09,2024-07-12,checked_out,1050.00,3809,3
12482,2024-11-18,2024-11-25,cancelled,2450.00,6434,3
13576,2024-10-01,2024-10-08,checked_out,2450.00,1495,3
13680,2024-05-02,2024-05-04,checked_out,700.00,5241,3
1042,2024-10-06,2024-10-08,cancelled,160.00,7010,3
9623,2024-05-22,2024-05-31,checked_out,720.00,6199,3
14462,2024-10-03,2024-10-04,cancelled,80.00,7789,3
14655,2024-07-20,2024-07-22,checked_out,160.00,1882,3
15847,2024-09-14,2024-09-18,checked_out,320.00,96,3
5044,2024-08-15,2024-08-22,checked_out,2450.00,2195,3
12075,2024-06-06,2024-06-14,checked_out,2800.00,264,3
12916,2024-07-02,2024-07-07,checked_out,1750.00,2034,3
849,2024-07-08,2024-07-09,checked_in,350.00,1675,3
3759,2024-06-20,2024-06-23,booked,360.00,5072,3
13122,2024-01-28,2024-01-29,checked_out,120.00,5715,3
16268,2024-07-24,2024-07-31,checked_out,840.00,832,3
16340,2024-05-17,2024-05-19,checked_out,240.00,3934,3
18502,2024-05-22,2024-06-01,booked,1200.00,4088,3
833,2024-03-02,2024-03-07,checked_in,1750.00,2003,3
4077,2024-06-14,2024-06-22,checked_out,2800.00,4612,3
18584,2024-11-25,2024-11-26,checked_out,350.00,1478,3
10292,2024-01-27,2024-02-05,checked_out,3150.00,1470,3
10635,2024-05-09,2024-05-14,checked_in,1750.00,2217,3
12272,2024-02-18,2024-02-26,checked_in,2800.00,354,3
16441,2024-06-08,2024-06-16,cancelled,2800.00,7280,3
18459,2024-06-26,2024-07-01,booked,1750.00,3196,3
19836,2024-03-04,2024-03-14,checked_out,3500.00,7596,3
2595,2024-03-10,2024-03-19,checked_out,3150.00,4942,3
8356,2024-05-23,2024-06-01,checked_in,3150.00,2106,3
11619,2024-12-03,2024-12-10,checked_in,2450.00,4079,3
16302,2024-08-22,2024-08-23,checked_out,350.00,6781,3
5338,2024-07-28,2024-07-30,checked_in,240.00,2955,3
13417,2024-02-14,2024-02-22,checked_out,960.00,868,3
15307,2024-08-28,2024-09-02,checked_out,600.00,3428,3
16960,2024-12-20,2024-12-27,checked_in,840.00,7462,3
421,2024-10-07,2024-10-10,checked_out,360.00,3804,3
16065,2024-01-08,2024-01-13,checked_out,600.00,5803,3
2978,2024-01-07,2024-01-10,cancelled,240.00,7061,3
4918,2024-05-11,2024-05-16,checked_in,400.00,3518,3
5022,2024-06-06,2024-06-10,checked_out,320.00,160,3
8010,2024-01-12,2024-01-18,checked_out,480.00,4238,3
16014,2024-12-10,2024-12-20,checked_in,800.00,2547,3
16791,2024-07-02,2024-07-03,checked_out,80.00,584,3
90,2024-06-10,2024-06-15,checked_in,400.00,6706,3
6879,2024-10-28,2024-10-29,booked,80.00,1415,3
12305,2024-12-23,2024-12-28,checked_out,400.00,808,3
12555,2024-08-28,2024-09-01,cancelled,320.00,5484,3
17282,2024-05-10,2024-05-12,checked_in,160.00,7031,3
18327,2024-08-06,2024-08-11,checked_out,400.00,2234,3
7327,2024-04-10,2024-04-13,checked_out,1050.00,329,3
15936,2024-01-08,2024-01-15,cancelled,2450.00,563,3
16516,2024-07-18,2024-07-20,checked_out,700.00,5192,3
12241,2024-02-10,2024-02-12,checked_out,240.00,1178,3
17601,2024-05-08,2024-05-14,booked,720.00,5603,3
18925,2024-04-23,2024-04-30,cancelled,840.00,4368,3
7679,2024-02-03,2024-02-06,checked_out,360.00,3989,3
8063,2024-12-23,2024-12-25,checked_out,240.00,1639,3
10959,2024-07-21,2024-07-29,checked_out,960.00,6035,3
18915,2024-09-24,2024-09-30,checked_in,720.00,443,3
9678,2024-02-10,2024-02-17,checked_in,2450.00,3120,3
10876,2024-05-02,2024-05-12,cancelled,3500.00,2997,3
2144,2024-05-21,2024-05-23,checked_out,160.00,7200,3
18172,2024-12-16,2024-12-20,checked_out,320.00,6667,3
3780,2024-12-01,2024-12-07,checked_out,720.00,4899,3
4221,2024-05-01,2024-05-10,checked_in,1080.00,5756,3
17608,2024-06-18,2024-06-22,checked_out,480.00,3833,3
19078,2024-02-11,2024-02-16,checked_out,600.00,1540,3
9138,2024-05-09,2024-05-11,checked_out,160.00,3279,3
9221,2024-02-06,2024-02-09,checked_in,240.00,2794,3
16140,2024-02-01,2024-02-10,checked_out,720.00,7904,3
3810,2024-01-16,2024-01-25,checked_out,3150.00,6201,3
10382,2024-09-21,2024-09-26,checked_out,600.00,99,3
8883,2024-01-05,2024-01-09,checked_in,1400.00,7388,3
9188,2024-01-12,2024-01-16,checked_out,1400.00,2693,3
12786,2024-10-28,2024-10-30,booked,700.00,778,3
18022,2024-04-03,2024-04-12,checked_in,3150.00,1447,3
5240,2024-05-07,2024-05-12,booked,1100.00,7391,3
16259,2024-01-01,2024-01-07,checked_in,1320.00,3816,3
19531,2024-10-01,2024-10-10,checked_in,1980.00,6195,3
1320,2024-02-05,2024-02-12,checked_out,2450.00,4428,4
2874,2024-06-16,2024-06-25,cancelled,3150.00,1474,4
2928,2024-12-05,2024-12-14,checked_out,3150.00,2947,4
8567,2024-12-04,2024-12-11,booked,2450.00,2586,4
11046,2024-09-17,2024-09-23,checked_out,2100.00,5735,4
11324,2024-01-17,2024-01-24,checked_in,2450.00,4772,4
13859,2024-07-09,2024-07-16,checked_in,2450.00,920,4
1005,2024-10-20,2024-10-22,cancelled,700.00,4957,4
5633,2024-03-26,2024-04-05,booked,3500.00,816,4
7093,2024-09-08,2024-09-12,checked_out,1400.00,4024,4
11152,2024-08-27,2024-09-04,checked_out,2800.00,5431,4
12499,2024-10-19,2024-10-28,checked_out,3150.00,5656,4
17011,2024-12-08,2024-12-09,checked_out,350.00,5880,4
17786,2024-04-22,2024-05-01,checked_in,3150.00,7734,4
619,2024-10-21,2024-10-30,booked,1080.00,2897,4
3207,2024-11-01,2024-11-07,checked_out,720.00,3117,4
8523,2024-03-21,2024-03-27,checked_out,2100.00,3859,4
15702,2024-02-14,2024-02-18,checked_out,1400.00,3563,4
18334,2024-06-17,2024-06-22,cancelled,1750.00,49,4
3413,2024-01-07,2024-01-14,booked,2450.00,1952,4
6003,2024-11-01,2024-11-02,checked_out,350.00,700,4
11444,2024-06-26,2024-06-28,cancelled,700.00,3378,4
14039,2024-07-03,2024-07-12,checked_out,3150.00,6688,4
16571,2024-05-28,2024-05-31,checked_out,1050.00,389,4
12233,2024-02-28,2024-03-09,checked_out,2200.00,5165,4
14066,2024-12-24,2024-12-26,checked_in,440.00,7587,4
18638,2024-07-22,2024-08-01,checked_in,2200.00,3785,4
374,2024-08-08,2024-08-15,checked_out,840.00,7573,4
5349,2024-06-07,2024-06-12,checked_out,600.00,7548,4
6999,2024-05-04,2024-05-08,checked_out,480.00,7207,4
7046,2024-05-10,2024-05-16,checked_out,720.00,3339,4
15768,2024-08-05,2024-08-07,checked_out,240.00,7911,4
13305,2024-08-09,2024-08-16,checked_out,1540.00,5980,4
14393,2024-02-10,2024-02-20,checked_out,2200.00,6830,4
15732,2024-10-06,2024-10-11,checked_in,1100.00,1973,4
8924,2024-11-12,2024-11-17,checked_out,1750.00,4125,4
13810,2024-03-17,2024-03-22,checked_out,1750.00,4899,4
16075,2024-11-16,2024-11-26,checked_out,3500.00,2487,4
19947,2024-04-02,2024-04-03,booked,350.00,7905,4
57,2024-02-24,2024-03-01,checked_out,720.00,80,4
15409,2024-05-03,2024-05-08,cancelled,600.00,119,4
6701,2024-07-22,2024-08-01,checked_in,2200.00,6620,4
15347,2024-06-06,2024-06-13,checked_out,1540.00,7346,4
17273,2024-07-25,2024-07-30,cancelled,1100.00,6707,4
3199,2024-02-01,2024-02-02,checked_out,350.00,5647,4
3699,2024-12-17,2024-12-19,checked_out,700.00,3105,4
9648,2024-07-16,2024-07-17,checked_in,350.00,4665,4
2552,2024-02-07,2024-02-15,booked,640.00,6793,4
5505,2024-05-24,2024-05-30,checked_out,1320.00,4015,4
10622,2024-04-14,2024-04-17,checked_out,660.00,3323,4
14708,2024-06-05,2024-06-07,checked_out,440.00,4217,4
18310,2024-04-26,2024-05-03,checked_out,1540.00,4791,4
19971,2024-05-08,2024-05-16,cancelled,1760.00,7449,4
785,2024-03-16,2024-03-18,checked_in,240.00,809,4
4873,2024-04-16,2024-04-26,checked_out,1200.00,3547,4
5595,2024-05-26,2024-06-01,checked_out,720.00,4049,4
17902,2024-05-14,2024-05-24,checked_out,1200.00,1721,4
18078,2024-05-24,2024-06-01,checked_out,960.00,2447,4
5445,2024-02-22,2024-02-24,checked_out,440.00,2857,4
7374,2024-08-27,2024-09-06,checked_in,2200.00,2621,4
